[2018-12-02 22:24:16] log.DEBUG: -> successfully loaded cfg:[{"download-pool-size":"5","videoQualityStrategy":"best","thumbResolution":"high","access":["private","public","unlisted"],"tags":["classical","folk","piano"],"startdate":"2014-01-01","enddate":"2019-01-01","tagCountThreshold":"2","force-override":"true","channelid":"UCSuhUzpdXg9jme6eN6HA_IA","directorySaveStrategy":"bundle","api-key":"AIzaSyCLYc0OBUVZFzdF8kFmv7bqyfIynd-D8L8","video-csv-name":"\/..\/output\/videos.csv","video-csv-delimiter":",","channel-csv-name":"\/..\/output\/channel.csv","channel-csv-delimiter":",","playlist-csv-name":"\/..\/output\/playlist.csv","playlist-csv-delimiter":",","video-meta-mapping":{"id":"id","publishedAt":"snippet.publishedAt","duration":"contentDetails.duration","privacyStatus":"status.privacyStatus","viewCount":"statistics.viewCount","tagCount":"snippet.tags","title":"snippet.title","thumbUrl":"snippet.thumbnails.default.url","commentCount":"statistics.commentCount","likeCount":"statistics.likeCount","dislikeCount":"statistics.dislikeCount","favoriteCount":"statistics.favoriteCount","description":"snippet.description","tags":"snippet.tags","fileName":"fileDetails.fileName","definition":"contentDetails.definition","caption":"contentDetails.caption","licensecontent":"contentDetails.licensedContent"},"playlist-meta-mapping":{"id":"id","publishedAt":"snippet.publishedAt","viewCount":"statistics.viewCount","privacyStatus":"status.privacyStatus","title":"snippet.title","description":"snippet.description","channelTitle":"snippet.channelTitel","thumbUrl":"snippet.thumbnails.default.url"},"channel-meta-mapping":{"id":"id","publishedAt":"snippet.publishedAt","duration":"contentDetails.duration","playlist-uploads":"contentDetails.relatedPlaylists.uploads","playlist-watchHistory":"contentDetails.relatedPlaylists.watchHistory","playlist-watchLater":"contentDetails.relatedPlaylists.watchLater","viewCount":"statistics.viewCount","commentCount":"statistics.commentCount","subscriberCount":"statistics.subscriberCount","hiddenSubscriberCount":"statistics.hiddenSubscriberCount","videoCount":"statistics.videoCount","title":"snippet.title","description":"snippet.description","thumbUrl":"snippet.thumbnails.default.url"}}] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['olMPeiqoiic'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['ctBqW5e16YM'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['C2Avpt9FKP0'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['iCEDfZgDPS8'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['anxdAcilnsM'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['olMPeiqoiic'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['ctBqW5e16YM'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['C2Avpt9FKP0'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['iCEDfZgDPS8'] [] []
[2018-12-02 22:24:16] log.DEBUG: Found id['anxdAcilnsM'] [] []
[2018-12-02 22:24:16] log.INFO: --> parsing download items ['5'] Thumbnail Items and ['5'] Video Items [] []
[2018-12-02 22:25:14] log.INFO: --> ['17'] fetched meta data for item with type ['VIDEO_TYPE'] id ['q8a6M4W9xJk'] [] []
[2018-12-02 22:25:14] log.INFO: --> ['18'] fetched meta data for item with type ['VIDEO_TYPE'] id ['KOGp5FCvRHg'] [] []
[2018-12-02 22:25:14] log.INFO: --> ['19'] fetched meta data for item with type ['VIDEO_TYPE'] id ['jKJYGNBk7Ec'] [] []
[2018-12-02 22:25:14] log.INFO: --> ['20'] fetched meta data for item with type ['VIDEO_TYPE'] id ['3cX7wisSiWI'] [] []
[2018-12-02 22:25:14] log.INFO: --> ['21'] fetched meta data for item with type ['VIDEO_TYPE'] id ['bj3qAIkbQw8'] [] []
[2018-12-02 22:25:15] log.INFO: --> ['22'] fetched meta data for item with type ['VIDEO_TYPE'] id ['ffu_KTdRwik'] [] []
[2018-12-02 22:25:15] log.INFO: --> ['23'] fetched meta data for item with type ['VIDEO_TYPE'] id ['FCvdNI0CDjc'] [] []
[2018-12-02 22:25:15] log.INFO: --> ['24'] fetched meta data for item with type ['VIDEO_TYPE'] id ['ClRPTzdc9-c'] [] []
[2018-12-02 22:25:15] log.INFO: --> ['25'] fetched meta data for item with type ['VIDEO_TYPE'] id ['I9XA9pBmtG0'] [] []
[2018-12-02 22:25:15] log.INFO: --> ['26'] fetched meta data for item with type ['VIDEO_TYPE'] id ['V7apuW_2lIE'] [] []
[2018-12-02 22:25:15] log.INFO: --> ['27'] fetched meta data for item with type ['VIDEO_TYPE'] id ['EAoBWLK2E3I'] [] []
[2018-12-02 22:25:16] log.INFO: --> ['28'] fetched meta data for item with type ['VIDEO_TYPE'] id ['5Vg77bbrx4I'] [] []
[2018-12-02 22:25:16] log.INFO: --> ['29'] fetched meta data for item with type ['VIDEO_TYPE'] id ['0ROk7Mgh13w'] [] []
[2018-12-02 22:25:16] log.INFO: --> ['30'] fetched meta data for item with type ['VIDEO_TYPE'] id ['TWNokSt_DjA'] [] []
[2018-12-02 22:25:16] log.INFO: --> ['31'] fetched meta data for item with type ['VIDEO_TYPE'] id ['_P7wHolvfH0'] [] []
[2018-12-02 22:25:16] log.INFO: --> ['32'] fetched meta data for item with type ['VIDEO_TYPE'] id ['_jUhTD48MjY'] [] []
[2018-12-02 22:25:17] log.INFO: --> ['33'] fetched meta data for item with type ['VIDEO_TYPE'] id ['ctAEu0ypMMU'] [] []
[2018-12-02 22:25:17] log.INFO: --> ['34'] fetched meta data for item with type ['VIDEO_TYPE'] id ['9CNdP5c1JZo'] [] []
[2018-12-02 22:25:17] log.INFO: --> ['35'] fetched meta data for item with type ['VIDEO_TYPE'] id ['PjBO6bzVM4o'] [] []
[2018-12-02 22:25:17] log.INFO: --> ['36'] fetched meta data for item with type ['VIDEO_TYPE'] id ['-EqkvZLRvl4'] [] []
[2018-12-02 22:25:17] log.INFO: --> ['37'] fetched meta data for item with type ['VIDEO_TYPE'] id ['oBRqVZObvu0'] [] []
[2018-12-02 22:25:18] log.INFO: --> ['38'] fetched meta data for item with type ['VIDEO_TYPE'] id ['ZuGw6yDBk5E'] [] []
[2018-12-02 22:25:18] log.INFO: --> ['39'] fetched meta data for item with type ['VIDEO_TYPE'] id ['iMpFYjLX4Yw'] [] []
[2018-12-02 22:25:18] log.INFO: --> ['40'] fetched meta data for item with type ['VIDEO_TYPE'] id ['3ttSfRr4rbs'] [] []
[2018-12-02 22:25:18] log.INFO: --> ['41'] fetched meta data for item with type ['VIDEO_TYPE'] id ['L-YT147OCHc'] [] []
[2018-12-02 22:25:18] log.INFO: --> ['42'] fetched meta data for item with type ['VIDEO_TYPE'] id ['OT4oyuGlCmQ'] [] []
[2018-12-02 22:25:19] log.INFO: --> ['43'] fetched meta data for item with type ['VIDEO_TYPE'] id ['SOXvIhKLKI0'] [] []
[2018-12-02 22:25:19] log.INFO: --> ['44'] fetched meta data for item with type ['VIDEO_TYPE'] id ['3mQOOvYrZdk'] [] []
[2018-12-02 22:25:19] log.INFO: --> ['45'] fetched meta data for item with type ['VIDEO_TYPE'] id ['_FxVqq3OKn8'] [] []
[2018-12-02 22:25:19] log.INFO: --> ['46'] fetched meta data for item with type ['VIDEO_TYPE'] id ['QmdcrQfvKr0'] [] []
[2018-12-02 22:25:19] log.INFO: --> ['47'] fetched meta data for item with type ['VIDEO_TYPE'] id ['oqNvf2gcoys'] [] []
[2018-12-02 22:25:20] log.INFO: --> ['48'] fetched meta data for item with type ['VIDEO_TYPE'] id ['ys7XBJ2qca4'] [] []
[2018-12-02 22:25:20] log.INFO: --> ['49'] fetched meta data for item with type ['VIDEO_TYPE'] id ['rYNjcM7wCy8'] [] []
[2018-12-02 22:25:20] log.INFO: --> ['50'] fetched meta data for item with type ['VIDEO_TYPE'] id ['ieGNzeUex3g'] [] []
[2018-12-02 22:25:20] log.INFO: --> ['51'] fetched meta data for item with type ['VIDEO_TYPE'] id ['a1UhR_MX3-c'] [] []
[2018-12-02 22:25:20] log.INFO: --> ['52'] fetched meta data for item with type ['VIDEO_TYPE'] id ['MGpqcsU4IKA'] [] []
[2018-12-02 22:25:21] log.INFO: --> ['53'] fetched meta data for item with type ['VIDEO_TYPE'] id ['ICVHMOjKncU'] [] []
[2018-12-02 22:25:21] log.INFO: --> ['54'] fetched meta data for item with type ['VIDEO_TYPE'] id ['dowQLoaAIvY'] [] []
[2018-12-02 22:25:21] log.INFO: --> ['55'] fetched meta data for item with type ['VIDEO_TYPE'] id ['Ipb_buw95d4'] [] []
[2018-12-02 22:25:22] log.INFO: --> ['56'] fetched meta data for item with type ['VIDEO_TYPE'] id ['LXCnl2J9uQk'] [] []
[2018-12-02 22:25:22] log.INFO: --> ['57'] fetched meta data for item with type ['VIDEO_TYPE'] id ['2KmwNIdkeZc'] [] []
[2018-12-02 22:25:22] log.INFO: --> ['58'] fetched meta data for item with type ['VIDEO_TYPE'] id ['84Z-hgU49qw'] [] []
[2018-12-02 22:25:22] log.INFO: --> ['59'] fetched meta data for item with type ['VIDEO_TYPE'] id ['N0SfyHBiMNE'] [] []
[2018-12-02 22:25:22] log.INFO: --> ['60'] fetched meta data for item with type ['VIDEO_TYPE'] id ['aI49ouHs708'] [] []
[2018-12-02 22:25:22] log.INFO: --> ['61'] fetched meta data for item with type ['VIDEO_TYPE'] id ['EP40C7DwiW4'] [] []
[2018-12-02 22:25:23] log.INFO: --> ['62'] fetched meta data for item with type ['VIDEO_TYPE'] id ['Thu-p-_usqw'] [] []
[2018-12-02 22:25:23] log.INFO: --> ['63'] fetched meta data for item with type ['VIDEO_TYPE'] id ['siKT67AOYBg'] [] []
[2018-12-02 22:25:23] log.INFO: --> ['64'] fetched meta data for item with type ['VIDEO_TYPE'] id ['RhdQIJ9kEhg'] [] []
[2018-12-02 22:25:23] log.INFO: --> ['65'] fetched meta data for item with type ['CHANNEL_TYPE'] id ['UCSuhUzpdXg9jme6eN6HA_IA'] [] []
[2018-12-02 22:25:23] log.INFO: --> generating meta data csvs ... [] []
